iterations,EU th,EU th time,EU,EU time,Barrier th,Barrier th time,Barrier,Barrier time,Lookback th,Lookback th time,Lookback,Lookback time
1,18.023,0,58.2507,0,15.1816,0,15.1023,0.06,37.7605,0.06,37.7797,0.12
1,18.023,0,0,0,15.1816,0,15.0269,0.06,37.7605,0.06,37.6241,0.12
1,18.023,0,0,0,15.1816,0,15.0642,0.06,37.7605,0.06,37.6579,0.13
1,18.023,0,34.6421,0,15.1816,0,15.1668,0.07,37.7605,0.07,37.6005,0.131
1,18.023,0,8.0119,0,15.1816,0,15.2084,0.061,37.7605,0.061,37.734,0.133
1,18.023,0,45.9978,0,15.1816,0,15.3341,0.071,37.7605,0.071,37.7699,0.138
1,18.023,0,0,0,15.1816,0,15.0811,0.06,37.7605,0.06,37.7087,0.12
1,18.023,0,0,0,15.1816,0,15.2652,0.07,37.7605,0.07,37.7494,0.13
1,18.023,0,0,0,15.1816,0,15.2323,0.06,37.7605,0.06,37.7778,0.12
1,18.023,0,1.85238,0,15.1816,0,15.1618,0.06,37.7605,0.06,37.813,0.12
1,18.023,0,16.2733,0,15.1816,0,15.2901,0.06,37.7605,0.06,37.8228,0.121
1,18.023,0,31.458,0,15.1816,0,15.3067,0.06,37.7605,0.06,37.8903,0.121
1,18.023,0,0,0,15.1816,0,15.1166,0.054,37.7605,0.054,37.7218,0.12
1,18.023,0,0,0,15.1816,0,15.0035,0.06,37.7605,0.06,37.7956,0.12
1,18.023,0,0,0,15.1816,0,15.1604,0.06,37.7605,0.06,37.7622,0.12
1,18.023,0,8.17799,0,15.1816,0,15.2115,0.052,37.7605,0.052,37.7286,0.124
1,18.023,0,0,0,15.1816,0,15.0575,0.06,37.7605,0.06,37.702,0.12
1,18.023,0,0,0,15.1816,0,15.2473,0.06,37.7605,0.06,37.8516,0.13
1,18.023,0,0,0,15.1816,0,15.0315,0.07,37.7605,0.07,37.7437,0.13
1,18.023,0,0,0,15.1816,0,15.1598,0.07,37.7605,0.07,37.6784,0.13
1,18.023,0,77.2803,0,15.1816,0,15.0672,0.072,37.7605,0.072,37.7528,0.132
1,18.023,0,0,0,15.1816,0,15.2996,0.06,37.7605,0.06,37.7219,0.13
1,18.023,0,0,0,15.1816,0,15.1859,0.06,37.7605,0.06,37.6249,0.12
1,18.023,0,0,0,15.1816,0,15.1713,0.07,37.7605,0.07,37.8672,0.13
1,18.023,0,0,0,15.1816,0,15.1522,0.06,37.7605,0.06,37.8246,0.12
1,18.023,0,0,0,15.1816,0,15.0875,0.071,37.7605,0.071,37.7704,0.131
1,18.023,0,0,0,15.1816,0,15.1721,0.06,37.7605,0.06,37.5934,0.121
1,18.023,0,52.7097,0,15.1816,0,15.1243,0.07,37.7605,0.07,37.9844,0.128
1,18.023,0,0,0,15.1816,0,15.2278,0.06,37.7605,0.06,37.8436,0.13
1,18.023,0,0,0,15.1816,0,15.1177,0.06,37.7605,0.06,37.6241,0.13
1,18.023,0,13.3924,0,15.1816,0,15.3478,0.06,37.7605,0.06,37.8179,0.12
1,18.023,0,0,0,15.1816,0,15.2784,0.06,37.7605,0.06,37.6468,0.13
1,18.023,0,0,0,15.1816,0,15.0971,0.06,37.7605,0.06,37.557,0.12
1,18.023,0,0.315459,0,15.1816,0,15.1461,0.07,37.7605,0.07,37.7937,0.13
1,18.023,0,7.68585,0,15.1816,0,15.0818,0.086,37.7605,0.086,37.6327,0.166
1,18.023,0,0,0,15.1816,0,15.0571,0.07,37.7605,0.07,37.7574,0.13
1,18.023,0,0,0,15.1816,0,15.1397,0.07,37.7605,0.07,37.7885,0.13
1,18.023,0,0,0,15.1816,0,15.1979,0.06,37.7605,0.06,37.6621,0.12
1,18.023,0,0,0,15.1816,0,15.1712,0.07,37.7605,0.07,37.8265,0.13
1,18.023,0,3.91563,0,15.1816,0,15.159,0.06,37.7605,0.06,37.6462,0.13
1,18.023,0,68.9932,0,15.1816,0,15.1304,0.06,37.7605,0.06,37.8677,0.12
1,18.023,0,9.88324,0,15.1816,0,15.1826,0.065,37.7605,0.065,37.7307,0.127
1,18.023,0,0,0,15.1816,0,14.9908,0.07,37.7605,0.07,37.704,0.13
1,18.023,0,0,0,15.1816,0,15.2052,0.06,37.7605,0.06,37.6275,0.13
1,18.023,0,21.932,0,15.1816,0,15.1569,0.06,37.7605,0.06,37.7094,0.12
1,18.023,0,93.3029,0,15.1816,0,15.2454,0.07,37.7605,0.07,37.6847,0.13
1,18.023,0,68.4387,0,15.1816,0,15.1304,0.066,37.7605,0.066,37.518,0.126
